Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,OverallQual,YearBuilt,RoofStyle,GarageArea,SalePrice
1461,1-STORY 1946+,RH,80.0,11622,0,5,1961,Gable,730.0,122579.168
1462,1-STORY 1946+,RL,81.0,14267,1,6,1958,Hip,312.0,157035.1612
1463,2-STORY 1946+,RL,74.0,13830,1,5,1997,Gable,482.0,184240.4335
1464,2-STORY 1946+,RL,78.0,9978,1,6,1998,Gable,470.0,183231.2666
1465,1-STORY PUD 1946+,RL,43.0,5005,1,8,1992,Gable,506.0,199204.4633
1466,2-STORY 1946+,RL,75.0,10000,1,6,1993,Gable,440.0,175066.2938
1467,1-STORY 1946+,RL,,7980,1,6,1992,Gable,420.0,165834.2548
1468,2-STORY 1946+,RL,63.0,8402,1,6,1998,Gable,393.0,164477.5473
1469,1-STORY 1946+,RL,85.0,10176,0,7,1990,Gable,506.0,186737.8594
1470,1-STORY 1946+,RL,70.0,8400,0,4,1970,Gable,525.0,122233.0819
1471,1-STORY PUD 1946+,RH,26.0,5858,1,7,1999,Gable,511.0,204613.8715
1472,2-STORY PUD 1946+,RM,21.0,1680,0,6,1971,Gable,264.0,95397.6544
1473,2-STORY PUD 1946+,RM,21.0,1680,0,5,1971,Gable,320.0,96497.00628
1474,2-STORY PUD 1946+,RL,24.0,2280,0,6,1975,Gable,440.0,152581.4327
1475,1-STORY PUD 1946+,RL,24.0,2280,0,7,1975,Gable,308.0,135653.8353
1476,2-STORY 1946+,RL,102.0,12858,1,9,2009,Gable,751.0,389391.8855
1477,1-STORY 1946+,RL,94.0,12883,1,8,2009,Gable,868.0,253782.0863
1478,1-STORY 1946+,RL,90.0,11520,0,9,2005,Hip,730.0,294210.0432
1479,1-STORY 1946+,RL,79.0,14122,1,8,2005,Hip,678.0,278945.4258
1480,1-STORY 1946+,RL,110.0,14300,0,9,2003,Hip,958.0,474559.3651
1481,2-STORY 1946+,RL,105.0,13650,0,8,2002,Gable,756.0,324021.2656
1482,1-STORY PUD 1946+,RL,41.0,7132,1,8,2006,Gable,484.0,205949.4514
1483,1-STORY 1946+,RL,100.0,18494,1,6,2005,Gable,430.0,170803.0649
1484,1-STORY PUD 1946+,RL,43.0,3203,0,7,2006,Gable,437.0,176055.1394
