Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1461,1-STORY 1946+,RH,80,11622,0,Inside,0,NAmes,1Fam,1Story,5,6,1961,1961,CompShg,None,3,3,CBlock,3,3,0,3,468,3,144,270,882,GasA,3,1,5,896,0,0,896,0,0,1,2,1,3,5,0,0,0,Attchd,1961,1,1,730,3,3,2,140,0,0,0,120,0,0,3,,0,June,2010,WD,Normal,122579.168
1462,1-STORY 1946+,RL,81,14267,1,Corner,0,NAmes,1Fam,1Story,6,6,1958,1958,CompShg,BrkFace,3,3,CBlock,3,3,0,5,923,1,0,406,1329,GasA,3,1,5,1329,0,0,1329,0,0,1,3,1,4,6,0,0,0,Attchd,1958,1,1,312,3,3,2,393,36,0,0,0,0,0,0,Gar2,12500,June,2010,WD,Normal,157035.1612
1463,2-STORY 1946+,RL,74,13830,1,Inside,0,Gilbert,1Fam,2Story,5,5,1997,1998,CompShg,None,3,3,PConc,4,3,0,6,791,1,0,137,928,GasA,4,1,5,928,701,0,1629,0,0,2,3,1,3,6,0,1,3,Attchd,1997,3,2,482,3,3,2,212,34,0,0,0,0,0,3,,0,Mar,2010,WD,Normal,184240.4335
1464,2-STORY 1946+,RL,78,9978,1,Inside,0,Gilbert,1Fam,2Story,6,6,1998,1998,CompShg,BrkFace,3,3,PConc,3,3,0,6,602,1,0,324,926,GasA,5,1,5,926,678,0,1604,0,0,2,3,1,4,7,0,1,4,Attchd,1998,3,2,470,3,3,2,360,36,0,0,0,0,0,0,,0,June,2010,WD,Normal,183231.2666
1465,1-STORY PUD 1946+,RL,43,5005,1,Inside,0,StoneBr,TwnhsE,1Story,8,5,1992,1992,CompShg,None,4,3,PConc,4,3,0,5,263,1,0,1017,1280,GasA,5,1,5,1280,0,0,1280,0,0,2,2,1,4,5,0,0,0,Attchd,1992,2,2,506,3,3,2,0,82,0,0,144,0,0,0,,0,Jan,2010,WD,Normal,199204.4633
1466,2-STORY 1946+,RL,75,10000,1,Corner,0,Gilbert,1Fam,2Story,6,5,1993,1994,CompShg,None,3,3,PConc,4,3,0,1,0,1,0,763,763,GasA,4,1,5,763,892,0,1655,0,0,2,3,1,3,7,0,1,3,Attchd,1993,3,2,440,3,3,2,157,84,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,175066.2938
1467,1-STORY 1946+,RL,,7980,1,Inside,0,Gilbert,1Fam,1Story,6,7,1992,2007,CompShg,None,3,4,PConc,4,3,0,5,935,1,0,233,1168,GasA,5,1,5,1187,0,0,1187,1,0,2,3,1,3,6,0,0,0,Attchd,1992,3,2,420,3,3,2,483,21,0,0,0,0,0,4,Shed,500,Mar,2010,WD,Normal,165834.2548
1468,2-STORY 1946+,RL,63,8402,1,Inside,0,Gilbert,1Fam,2Story,6,5,1998,1998,CompShg,None,3,3,PConc,4,3,0,1,0,1,0,789,789,GasA,4,1,5,789,676,0,1465,0,0,2,3,1,3,7,0,1,4,Attchd,1998,3,2,393,3,3,2,0,75,0,0,0,0,0,0,,0,May,2010,WD,Normal,164477.5473
1469,1-STORY 1946+,RL,85,10176,0,Inside,0,Gilbert,1Fam,1Story,7,5,1990,1990,CompShg,None,3,3,PConc,4,3,3,6,637,1,0,663,1300,GasA,4,1,5,1341,0,0,1341,1,0,1,2,1,4,5,0,1,1,Attchd,1990,1,2,506,3,3,2,192,0,0,0,0,0,0,0,,0,Feb,2010,WD,Normal,186737.8594
1470,1-STORY 1946+,RL,70,8400,0,Corner,0,NAmes,1Fam,1Story,4,5,1970,1970,CompShg,None,3,3,CBlock,3,3,0,5,804,3,78,0,882,GasA,3,1,5,882,0,0,882,1,0,1,2,1,3,4,0,0,0,Attchd,1970,3,2,525,3,3,2,240,0,0,0,0,0,0,3,,0,Apr,2010,WD,Normal,122233.0819
1471,1-STORY PUD 1946+,RH,26,5858,1,FR2,0,NAmes,TwnhsE,1Story,7,5,1999,1999,CompShg,None,4,3,PConc,4,3,0,6,1051,4,0,354,1405,GasA,5,1,5,1337,0,0,1337,1,0,2,2,1,4,5,0,1,2,Attchd,1999,3,2,511,3,3,2,203,68,0,0,0,0,0,0,,0,June,2010,WD,Normal,204613.8715
