"","Invoice.ID","Branch","City","Customer.type","Gender"
"1","750-67-8428","A","Yangon","Member","Female"
"2","226-31-3081","C","Naypyitaw","","Female"
"3","631-41-3108","A","Yangon","","Male"
"4","123-19-1176","A","Yangon","Member","Male"
"5","373-73-7910","A","Yangon","Normal","Male"
"6","699-14-3026","C","Naypyitaw","Normal","Male"
"7","355-53-5943","A","Yangon","Member","Female"
"8","315-22-5665","C","Naypyitaw","Normal","Female"
"9","665-32-9167","A","Yangon","Member","Female"
"10","692-92-5582","B","Mandalay","","Female"
"11","351-62-0822","B","Mandalay","","Female"
"12","529-56-3974","B","Mandalay","Member","Male"
"13","365-64-0515","A","Yangon","Normal","Female"
"14","252-56-2699","A","Yangon","Normal","Male"
"15","829-34-3910","A","Yangon","","Female"
"16","299-46-1805","B","Mandalay","Member","Female"
"17","656-95-9349","A","Yangon","Member","Female"
"18","765-26-6951","A","Yangon","","Male"
"19","329-62-1586","A","Yangon","Normal","Male"
"20","319-50-3348","B","Mandalay","Normal","Female"
"21","300-71-4605","C","Naypyitaw","Member","Male"
"22","371-85-5789","B","Mandalay","Normal","Male"
"23","273-16-6619","B","Mandalay","Normal","Male"
"24","636-48-8204","A","Yangon","","Male"
"25","549-59-1358","A","Yangon","","Male"
"26","227-03-5010","A","Yangon","","Female"
"27","649-29-6775","B","Mandalay","Normal","Male"
"28","189-17-4241","A","Yangon","Normal","Female"
"29","145-94-9061","B","Mandalay","","Female"
"30","848-62-7243","A","Yangon","Normal","Male"
"31","871-79-8483","B","Mandalay","Normal","Male"
"32","149-71-6266","B","Mandalay","Member","Male"
"33","640-49-2076","B","Mandalay","Normal","Male"
"34","595-11-5460","A","Yangon","","Male"
"35","183-56-6882","C","Naypyitaw","Member","Female"
"36","232-16-2483","C","Naypyitaw","Member","Female"
"37","129-29-8530","A","Yangon","Member","Male"
"38","272-65-1806","A","Yangon","Normal","Female"
"39","333-73-7901","C","Naypyitaw","Normal","Female"
"40","777-82-7220","B","Mandalay","Member","Male"
"41","280-35-5823","B","Mandalay","","Female"
"42","554-53-8700","C","Naypyitaw","","Male"
"43","354-25-5821","B","Mandalay","Member","Female"
"44","228-96-1411","C","Naypyitaw","","Female"
"45","617-15-4209","C","Naypyitaw","Member","Male"
"46","132-32-9879","B","Mandalay","Member","Female"
"47","370-41-7321","B","Mandalay","Member","Male"
"48","727-46-3608","B","Mandalay","Member","Female"
"49","669-54-1719","B","Mandalay","Member","Male"
"50","574-22-5561","C","Naypyitaw","","Female"
"51","326-78-5178","C","Naypyitaw","Member","Male"
"52","162-48-8011","A","Yangon","Member","Female"
"53","616-24-2851","B","Mandalay","Member","Female"
"54","778-71-5554","C","Naypyitaw","","Male"
"55","242-55-6721","B","Mandalay","Normal","Male"
"56","399-46-5918","C","Naypyitaw","Normal","Female"
"57","106-35-6779","A","Yangon","Member","Male"
"58","635-40-6220","A","Yangon","","Male"
"59","817-48-8732","A","Yangon","Member","Female"
"60","120-06-4233","C","Naypyitaw","Normal","Male"
"61","285-68-5083","C","Naypyitaw","Member","Female"
"62","803-83-5989","C","Naypyitaw","Normal","Male"
"63","347-34-2234","B","Mandalay","Member","Female"
"64","199-75-8169","A","Yangon","","Male"
"65","853-23-2453","B","Mandalay","Member","Male"
"66","877-22-3308","A","Yangon","Member","Male"
"67","838-78-4295","C","Naypyitaw","Normal","Female"
"68","109-28-2512","B","Mandalay","Member","Female"
"69","232-11-3025","A","Yangon","Normal","Male"
"70","382-03-4532","A","Yangon","Member","Female"
"71","393-65-2792","C","Naypyitaw","Normal","Male"
"72","796-12-2025","C","Naypyitaw","Normal","Male"
"73","510-95-6347","B","Mandalay","Member","Female"
"74","841-35-6630","C","Naypyitaw","Normal","Female"
"75","287-21-9091","A","Yangon","Normal","Male"
"76","732-94-0499","C","Naypyitaw","Normal","Female"
"77","263-10-3913","C","Naypyitaw","","Male"
"78","381-20-0914","A","Yangon","Member","Female"
"79","829-49-1914","C","Naypyitaw","Member","Female"
"80","756-01-7507","C","Naypyitaw","","Female"
"81","870-72-4431","C","Naypyitaw","Normal","Female"
"82","847-38-7188","B","Mandalay","Normal","Female"
"83","480-63-2856","C","Naypyitaw","","Male"
"84","787-56-0757","C","Naypyitaw","Member","Female"
