Invoice ID,Product line,Unit price,Quantity,Date,Time,Payment,cogs,gross income,Rating
750-67-8428,Health and beauty,74.69,7,1/5/2019,13:08,Ewallet,522.83,26.1415,9.1
226-31-3081,Electronic accessories,15.28,5,3/8/2019,10:29,Cash,76.4,3.82,9.6
631-41-3108,Home and lifestyle,46.33,7,3/3/2019,13:23,,324.31,,7.4
123-19-1176,Health and beauty,58.22,8,1/27/2019,20:33,Ewallet,465.76,23.288,8.4
373-73-7910,Sports and travel,86.31,7,2/8/2019,10:37,Ewallet,604.17,30.2085,
699-14-3026,Electronic accessories,85.39,7,3/25/2019,18:30,,597.73,29.8865,4.1
355-53-5943,Electronic accessories,68.84,6,2/25/2019,14:36,Ewallet,413.04,20.652,
315-22-5665,Home and lifestyle,73.56,10,2/24/2019,11:38,Ewallet,735.6,36.78,8
665-32-9167,Health and beauty,36.26,2,1/10/2019,17:15,Credit card,72.52,3.626,7.2
692-92-5582,Food and beverages,54.84,3,2/20/2019,13:27,Credit card,164.52,8.226,5.9
351-62-0822,Fashion accessories,14.48,4,2/6/2019,18:07,Ewallet,57.92,2.896,4.5
529-56-3974,Electronic accessories,25.51,4,3/9/2019,17:03,Cash,102.04,,6.8
365-64-0515,Electronic accessories,46.95,5,2/12/2019,10:25,,234.75,11.7375,7.1
252-56-2699,Food and beverages,43.19,10,2/7/2019,16:48,Ewallet,431.9,21.595,8.2
829-34-3910,Health and beauty,71.38,10,3/29/2019,19:21,Cash,713.8,35.69,
299-46-1805,Sports and travel,93.72,6,1/15/2019,16:19,Cash,562.32,28.116,4.5
656-95-9349,Health and beauty,68.93,7,3/11/2019,11:03,Credit card,482.51,24.1255,4.6
765-26-6951,Sports and travel,72.61,6,1/1/2019,10:39,Credit card,435.66,21.783,
329-62-1586,Food and beverages,54.67,3,1/21/2019,18:00,,164.01,,8.6
319-50-3348,Home and lifestyle,40.3,2,3/11/2019,15:30,Ewallet,80.6,4.03,4.4
300-71-4605,Electronic accessories,86.04,5,2/25/2019,11:24,Ewallet,430.2,21.51,4.8
371-85-5789,Health and beauty,87.98,3,3/5/2019,10:40,Ewallet,263.94,13.197,5.1
273-16-6619,Home and lifestyle,33.2,2,3/15/2019,12:20,,66.4,3.32,4.4
636-48-8204,Electronic accessories,34.56,5,2/17/2019,11:15,Ewallet,172.8,8.64,9.9
549-59-1358,Sports and travel,88.63,3,3/2/2019,17:36,Ewallet,265.89,13.2945,6
227-03-5010,Home and lifestyle,52.59,8,3/22/2019,19:20,Credit card,420.72,21.036,8.5
649-29-6775,Fashion accessories,33.52,1,2/8/2019,15:31,Cash,33.52,1.676,6.7
189-17-4241,Fashion accessories,87.67,2,3/10/2019,12:17,Credit card,175.34,8.767,7.7
145-94-9061,Food and beverages,88.36,5,1/25/2019,19:48,Cash,441.8,22.09,9.6
848-62-7243,Health and beauty,24.89,9,3/15/2019,15:36,Cash,224.01,,7.4
871-79-8483,Fashion accessories,94.13,5,2/25/2019,19:39,Credit card,470.65,,4.8
149-71-6266,Sports and travel,78.07,9,1/28/2019,12:43,Cash,702.63,35.1315,4.5
640-49-2076,Sports and travel,83.78,8,1/10/2019,14:49,Cash,670.24,33.512,5.1
595-11-5460,Health and beauty,96.58,2,3/15/2019,10:12,Credit card,193.16,,5.1
183-56-6882,Food and beverages,99.42,4,2/6/2019,10:42,Ewallet,397.68,19.884,7.5
232-16-2483,Sports and travel,68.12,1,1/7/2019,12:28,Ewallet,68.12,3.406,6.8
129-29-8530,Sports and travel,62.62,5,3/10/2019,19:15,Ewallet,313.1,15.655,7
272-65-1806,Electronic accessories,60.88,9,1/15/2019,17:17,Ewallet,547.92,27.396,4.7
333-73-7901,Health and beauty,54.92,8,3/23/2019,13:24,Ewallet,439.36,21.968,7.6
777-82-7220,Home and lifestyle,30.12,8,3/3/2019,13:01,Cash,240.96,12.048,7.7
280-35-5823,Home and lifestyle,86.72,1,1/17/2019,18:45,Ewallet,86.72,4.336,7.9
554-53-8700,Home and lifestyle,56.11,2,2/2/2019,10:11,Cash,112.22,5.611,6.3
354-25-5821,Sports and travel,69.12,6,2/8/2019,13:03,Cash,414.72,20.736,5.6
228-96-1411,Food and beverages,98.7,8,3/4/2019,20:39,,789.6,39.48,7.6
617-15-4209,Health and beauty,15.37,2,3/16/2019,19:47,Cash,30.74,1.537,7.2
132-32-9879,Electronic accessories,93.96,4,3/9/2019,18:00,Cash,375.84,18.792,9.5
370-41-7321,Health and beauty,56.69,9,2/27/2019,17:24,,510.21,,8.4
727-46-3608,Food and beverages,20.01,9,2/6/2019,15:47,Ewallet,180.09,,4.1
669-54-1719,Electronic accessories,18.93,6,2/10/2019,12:45,Credit card,113.58,5.679,8.1
574-22-5561,Fashion accessories,82.63,10,3/19/2019,17:08,Ewallet,826.3,41.315,7.9
326-78-5178,Food and beverages,91.4,7,2/3/2019,10:19,Cash,639.8,31.99,9.5
162-48-8011,Food and beverages,44.59,5,2/10/2019,15:10,Cash,222.95,,8.5
616-24-2851,Fashion accessories,17.87,4,3/22/2019,14:42,Ewallet,71.48,3.574,6.5
778-71-5554,Fashion accessories,15.43,1,1/25/2019,15:46,Credit card,15.43,0.7715,6.1
242-55-6721,Home and lifestyle,16.16,2,3/7/2019,11:49,Ewallet,32.32,1.616,6.5
399-46-5918,Electronic accessories,85.98,8,2/28/2019,19:01,,687.84,34.392,8.2
106-35-6779,Home and lifestyle,44.34,2,3/27/2019,11:26,Cash,88.68,4.434,5.8
635-40-6220,Health and beauty,89.6,8,2/7/2019,11:28,,716.8,35.84,6.6
817-48-8732,Home and lifestyle,72.35,10,1/20/2019,15:55,Cash,723.5,36.175,5.4
120-06-4233,Electronic accessories,30.61,6,3/12/2019,20:36,Cash,183.66,,9.3
285-68-5083,Sports and travel,24.74,3,2/15/2019,17:47,Credit card,74.22,3.711,10
803-83-5989,Home and lifestyle,55.73,6,2/24/2019,10:55,Ewallet,334.38,16.719,7
347-34-2234,Sports and travel,55.07,9,2/3/2019,13:40,Ewallet,495.63,24.7815,10
199-75-8169,Sports and travel,15.81,10,3/6/2019,12:27,Credit card,158.1,7.905,8.6
853-23-2453,Health and beauty,75.74,4,2/14/2019,14:35,Cash,302.96,,7.6
877-22-3308,Health and beauty,15.87,10,3/13/2019,16:40,,158.7,7.935,5.8
838-78-4295,Health and beauty,33.47,2,2/10/2019,15:43,Ewallet,66.94,3.347,6.7
109-28-2512,Fashion accessories,97.61,6,1/7/2019,15:01,Ewallet,585.66,29.283,9.9
232-11-3025,Sports and travel,78.77,10,1/24/2019,10:04,Cash,787.7,39.385,
382-03-4532,Health and beauty,18.33,1,2/2/2019,18:50,Cash,18.33,0.9165,4.3
393-65-2792,Food and beverages,89.48,10,1/6/2019,12:46,Credit card,894.8,44.74,9.6
796-12-2025,Fashion accessories,62.12,10,2/11/2019,16:19,Cash,621.2,31.06,
510-95-6347,Food and beverages,48.52,3,3/5/2019,18:17,Ewallet,145.56,7.278,4
841-35-6630,Electronic accessories,75.91,6,3/9/2019,18:21,Cash,455.46,22.773,8.7
287-21-9091,Home and lifestyle,74.67,9,1/22/2019,10:55,,672.03,33.6015,9.4
732-94-0499,Electronic accessories,41.65,10,1/13/2019,17:04,Credit card,416.5,20.825,5.4
263-10-3913,Fashion accessories,49.04,9,1/9/2019,14:20,Credit card,441.36,,8.6
