"","Invoice.ID","Product.line","Unit.price","Quantity","Date","Time","Payment","cogs","gross.income","Rating","Quantity.Disc","Unit.Price.Disc","Rating.Disc","total_price","tax_5percent"
"1","750-67-8428","Health and beauty",74.69,7,"1/5/2019","13:08","Ewallet",522.83,26.1415,9.1,"Banyak","Sedang","Sangat Bagus",0.522164009577799,0.522164009577799
"2","226-31-3081","Electronic accessories",15.28,5,"3/8/2019","10:29","Cash",76.4,3.82,9.6,"Sedang","Sangat Murah","Sangat Bagus",0.0653459672963183,0.0653459672963183
"3","631-41-3108","Home and lifestyle",46.33,7,"3/3/2019","13:23","",324.31,17.7427113636364,7.4,"Banyak","Murah","Normal",0.319024619855514,0.319024619855514
"4","123-19-1176","Health and beauty",58.22,8,"1/27/2019","20:33","Ewallet",465.76,23.288,8.4,"Sangat Banyak","Sedang","Bagus",0.463766039743773,0.463766039743772
"5","373-73-7910","Sports and travel",86.31,7,"2/8/2019","10:37","Ewallet",604.17,30.2085,6.5,"Banyak","Mahal","Normal",0.605396721445675,0.605396721445675
"6","699-14-3026","Electronic accessories",85.39,7,"3/25/2019","18:30","",597.73,29.8865,4.1,"Banyak","Mahal","Sangat Buruk",0.598806868182469,0.598806868182469
"7","355-53-5943","Electronic accessories",68.84,6,"2/25/2019","14:36","Ewallet",413.04,20.652,6.5,"Banyak","Sedang","Normal",0.409819290669832,0.409819290669832
"8","315-22-5665","Home and lifestyle",73.56,10,"2/24/2019","11:38","Ewallet",735.6,36.78,8,"Sangat Banyak","Sedang","Bagus",0.739884984548636,0.739884984548636
"9","665-32-9167","Health and beauty",36.26,2,"1/10/2019","17:15","Credit card",72.52,3.626,7.2,"Sedikit","Murah","Normal",0.0613756830321511,0.061375683032151
"10","692-92-5582","Food and beverages",54.84,3,"2/20/2019","13:27","Credit card",164.52,8.226,5.9,"Sedikit","Murah","Buruk",0.155516443935084,0.155516443935083
"11","351-62-0822","Fashion accessories",14.48,4,"2/6/2019","18:07","Ewallet",57.92,2.896,4.5,"Sedang","Sangat Murah","Sangat Buruk",0.0464359535845118,0.0464359535845117
"12","529-56-3974","Electronic accessories",25.51,4,"3/9/2019","17:03","Cash",102.04,17.7427113636364,6.8,"Sedang","Sangat Murah","Normal",0.0915825880523095,0.0915825880523094
"13","365-64-0515","Electronic accessories",46.95,5,"2/12/2019","10:25","",234.75,11.7375,7.1,"Sedang","Murah","Normal",0.22738063565479,0.22738063565479
"14","252-56-2699","Food and beverages",43.19,10,"2/7/2019","16:48","Ewallet",431.9,21.595,8.2,"Sangat Banyak","Murah","Bagus",0.429118146654933,0.429118146654933
"15","829-34-3910","Health and beauty",71.38,10,"3/29/2019","19:21","Cash",713.8,35.69,6.5,"Sangat Banyak","Sedang","Normal",0.717577717291202,0.717577717291201
"16","299-46-1805","Sports and travel",93.72,6,"1/15/2019","16:19","Cash",562.32,28.116,4.5,"Banyak","Mahal","Sangat Buruk",0.562572907926242,0.562572907926241
"17","656-95-9349","Health and beauty",68.93,7,"3/11/2019","11:03","Credit card",482.51,24.1255,4.6,"Banyak","Sedang","Sangat Buruk",0.480905797842949,0.480905797842948
"18","765-26-6951","Sports and travel",72.61,6,"1/1/2019","10:39","Credit card",435.66,21.783,6.5,"Banyak","Sedang","Normal",0.43296563862227,0.43296563862227
"19","329-62-1586","Food and beverages",54.67,3,"1/21/2019","18:00","",164.01,17.7427113636364,8.6,"Sedikit","Murah","Bagus",0.154994576673557,0.154994576673556
"20","319-50-3348","Home and lifestyle",40.3,2,"3/11/2019","15:30","Ewallet",80.6,4.03,4.4,"Sedikit","Murah","Sangat Buruk",0.0696436976853652,0.069643697685365
"21","300-71-4605","Electronic accessories",86.04,5,"2/25/2019","11:24","Ewallet",430.2,21.51,4.8,"Sedang","Mahal","Sangat Buruk",0.427378589116509,0.427378589116509
"22","371-85-5789","Health and beauty",87.98,3,"3/5/2019","10:40","Ewallet",263.94,13.197,5.1,"Sedikit","Mahal","Sangat Buruk",0.257249861858666,0.257249861858665
"23","273-16-6619","Home and lifestyle",33.2,2,"3/15/2019","12:20","",66.4,3.32,4.4,"Sedikit","Murah","Sangat Buruk",0.0551132758938256,0.0551132758938256
"24","636-48-8204","Electronic accessories",34.56,5,"2/17/2019","11:15","Ewallet",172.8,8.64,9.9,"Sedang","Murah","Sangat Bagus",0.163989112416348,0.163989112416348
"25","549-59-1358","Sports and travel",88.63,3,"3/2/2019","17:36","Ewallet",265.89,13.2945,6,"Sedikit","Mahal","Buruk",0.259245236682152,0.259245236682152
"26","227-03-5010","Home and lifestyle",52.59,8,"3/22/2019","19:20","Credit card",420.72,21.036,8.5,"Sangat Banyak","Murah","Bagus",0.417677997666946,0.417677997666945
"27","649-29-6775","Fashion accessories",33.52,1,"2/8/2019","15:31","Cash",33.52,1.676,6.7,"Sedikit","Murah","Normal",0.0214681865624296,0.0214681865624296
"28","189-17-4241","Fashion accessories",87.67,2,"3/10/2019","12:17","Credit card",175.34,8.767,7.7,"Sedikit","Mahal","Bagus",0.166588216032581,0.16658821603258
"29","145-94-9061","Food and beverages",88.36,5,"1/25/2019","19:48","Cash",441.8,22.09,9.6,"Sedang","Mahal","Sangat Bagus",0.439248511143401,0.4392485111434
"30","848-62-7243","Health and beauty",24.89,9,"3/15/2019","15:36","Cash",224.01,17.7427113636364,7.4,"Sangat Banyak","Sangat Murah","Normal",0.216390725088513,0.216390725088512
"31","871-79-8483","Fashion accessories",94.13,5,"2/25/2019","19:39","Credit card",470.65,17.7427113636364,4.8,"Sedang","Mahal","Sangat Buruk",0.468769825839592,0.468769825839592
"32","149-71-6266","Sports and travel",78.07,9,"1/28/2019","12:43","Cash",702.63,35.1315,4.5,"Sangat Banyak","Mahal","Sangat Buruk",0.706147800994617,0.706147800994617
"33","640-49-2076","Sports and travel",83.78,8,"1/10/2019","14:49","Cash",670.24,33.512,5.1,"Sangat Banyak","Mahal","Sangat Buruk",0.673004113541944,0.673004113541943
"34","595-11-5460","Health and beauty",96.58,2,"3/15/2019","10:12","Credit card",193.16,17.7427113636364,5.1,"Sedikit","Mahal","Sangat Buruk",0.184822872111823,0.184822872111823
"35","183-56-6882","Food and beverages",99.42,4,"2/6/2019","10:42","Ewallet",397.68,19.884,7.5,"Sedang","Mahal","Normal",0.394101876675603,0.394101876675602
"36","232-16-2483","Sports and travel",68.12,1,"1/7/2019","12:28","Ewallet",68.12,3.406,6.8,"Sedikit","Sedang","Normal",0.0568732988150543,0.0568732988150543
"37","129-29-8530","Sports and travel",62.62,5,"3/10/2019","19:15","Ewallet",313.1,15.655,7,"Sedang","Sedang","Normal",0.30755377279332,0.30755377279332
"38","272-65-1806","Electronic accessories",60.88,9,"1/15/2019","17:17","Ewallet",547.92,27.396,4.7,"Sangat Banyak","Sedang","Sangat Buruk",0.547837832306653,0.547837832306653
"39","333-73-7901","Health and beauty",54.92,8,"3/23/2019","13:24","Ewallet",439.36,21.968,7.6,"Sangat Banyak","Murah","Bagus",0.436751734441193,0.436751734441192
"40","777-82-7220","Home and lifestyle",30.12,8,"3/3/2019","13:01","Cash",240.96,12.048,7.7,"Sangat Banyak","Sangat Murah","Bagus",0.233735137015738,0.233735137015737
"41","280-35-5823","Home and lifestyle",86.72,1,"1/17/2019","18:45","Ewallet",86.72,4.336,7.9,"Sedikit","Mahal","Bagus",0.0759061048236907,0.0759061048236905
"42","554-53-8700","Home and lifestyle",56.11,2,"2/2/2019","10:11","Cash",112.22,5.611,6.3,"Sedikit","Sedang","Buruk",0.101999467900047,0.101999467900047
"43","354-25-5821","Sports and travel",69.12,6,"2/8/2019","13:03","Cash",414.72,20.736,5.6,"Banyak","Sedang","Buruk",0.411538382825451,0.411538382825451
"44","228-96-1411","Food and beverages",98.7,8,"3/4/2019","20:39","",789.6,39.48,7.6,"Sangat Banyak","Mahal","Bagus",0.795141518122096,0.795141518122095
"45","617-15-4209","Health and beauty",15.37,2,"3/16/2019","19:47","Cash",30.74,1.537,7.2,"Sedikit","Sangat Murah","Normal",0.0186234983525367,0.0186234983525367
"46","132-32-9879","Electronic accessories",93.96,4,"3/9/2019","18:00","Cash",375.84,18.792,9.5,"Sedang","Mahal","Sangat Bagus",0.371753678652559,0.371753678652559
"47","370-41-7321","Health and beauty",56.69,9,"2/27/2019","17:24","",510.21,17.7427113636364,8.4,"Sangat Banyak","Sedang","Bagus",0.509250353027853,0.509250353027853
